Penjualan_SK,Waktu_SK,Produk_SK,Toko_SK,Konsumen_SK,Affiliator_SK,Ekspedisi_SK,Kota_SK,No_Invoice,Jumlah_Barang,Harga_Satuan,Biaya_Ongkir,Diskon_Platform,Komisi_Affiliator
201,20260426,15,30,101,-1,1,22,INV-10201,1,35000,9000,0,0
202,20260426,2,7,184,3,2,32,INV-10202,1,95000,15000,5000,4750
203,20260427,10,39,44,-1,3,19,INV-10203,1,450000,45000,25000,0
204,20260427,6,14,16,5,1,9,INV-10204,2,25000,11000,5000,2500
205,20260428,14,41,177,-1,4,6,INV-10205,1,135000,20000,10000,0
206,20260428,4,18,34,8,2,39,INV-10206,1,60000,15000,5000,3000
207,20260429,7,25,6,-1,1,20,INV-10207,1,195000,16000,15000,0
208,20260429,9,34,23,2,2,18,INV-10208,1,85000,12000,0,4250
209,20260430,11,2,134,-1,1,6,INV-10209,1,110000,10000,10000,0
210,20260430,13,28,51,9,3,21,INV-10210,2,55000,24000,15000,5500
211,20260501,3,12,119,-1,2,8,INV-10211,1,75000,10000,0,0
212,20260501,5,22,3,4,1,22,INV-10212,1,45000,9000,0,2250
213,20260502,12,45,165,-1,4,8,INV-10213,1,120000,15000,10000,0
214,20260502,1,1,102,6,5,1,INV-10214,1,2500000,0,50000,125000
215,20260503,8,19,14,-1,2,6,INV-10215,1,180000,12000,15000,0
216,20260503,15,30,149,1,1,22,INV-10216,1,35000,9000,0,1750
217,20260504,2,7,5,-1,2,32,INV-10217,1,95000,15000,5000,0
218,20260504,10,39,191,3,3,19,INV-10218,1,450000,45000,25000,22500
219,20260505,6,14,77,-1,1,9,INV-10219,1,25000,9000,0,0
220,20260505,14,41,44,5,4,6,INV-10220,1,135000,20000,10000,6750
221,20260506,4,18,122,-1,2,39,INV-10221,2,60000,20000,10000,0
222,20260506,7,25,41,2,1,20,INV-10222,1,195000,16000,15000,9750
223,20260507,9,34,8,-1,2,18,INV-10223,1,85000,12000,0,0
224,20260507,11,2,123,7,1,6,INV-10224,1,110000,10000,10000,5500
225,20260508,13,28,112,-1,3,21,INV-10225,1,55000,14000,5000,0
226,20260508,3,12,50,8,2,8,INV-10226,1,75000,10000,0,3750
227,20260509,5,22,64,-1,1,22,INV-10227,1,45000,9000,0,0
228,20260509,12,45,1,4,4,8,INV-10228,1,120000,15000,10000,6000
229,20260510,1,1,83,-1,5,2,INV-10229,1,2500000,0,50000,0
230,20260510,8,19,143,6,2,6,INV-10230,1,180000,12000,15000,9000
231,20260511,15,30,35,-1,1,22,INV-10231,2,35000,14000,5000,0
232,20260511,2,7,136,1,2,32,INV-10232,1,95000,15000,5000,4750
233,20260512,10,39,14,-1,3,19,INV-10233,1,450000,45000,25000,0
234,20260512,6,14,175,9,1,9,INV-10234,1,25000,9000,0,1250
235,20260513,14,41,185,-1,4,6,INV-10235,1,135000,20000,10000,0
236,20260513,4,18,189,3,2,39,INV-10236,1,60000,15000,5000,3000
237,20260514,7,25,5,-1,1,20,INV-10237,1,195000,16000,15000,0
238,20260514,9,34,80,5,2,18,INV-10238,2,85000,20000,15000,8500
239,20260515,11,2,110,-1,1,6,INV-10239,1,110000,10000,10000,0
240,20260515,13,28,130,2,3,21,INV-10240,1,55000,14000,0,2750
241,20260516,3,12,53,-1,2,8,INV-10241,1,75000,10000,5000,0
242,20260516,5,22,101,8,1,22,INV-10242,1,45000,9000,0,2250
243,20260517,12,45,184,-1,4,8,INV-10243,1,120000,15000,10000,0
244,20260517,1,1,95,4,5,3,INV-10244,1,2500000,0,50000,125000
245,20260518,8,19,34,-1,2,6,INV-10245,1,180000,12000,15000,0
246,20260518,15,30,177,6,1,22,INV-10246,2,35000,14000,5000,3500
247,20260519,2,7,6,-1,2,32,INV-10247,1,95000,15000,5000,0
248,20260519,10,39,23,1,3,19,INV-10248,1,450000,45000,25000,22500
249,20260520,6,14,134,-1,1,9,INV-10249,1,25000,9000,0,0
250,20260520,14,41,51,3,4,6,INV-10250,1,135000,20000,10000,6750
251,20260521,4,18,119,-1,2,39,INV-10251,1,60000,15000,5000,0
252,20260521,7,25,3,7,1,20,INV-10252,1,195000,16000,15000,9750
253,20260522,9,34,165,-1,2,18,INV-10253,1,85000,12000,0,0
254,20260522,11,2,102,5,1,6,INV-10254,3,110000,15000,20000,16500
255,20260523,13,28,14,-1,3,21,INV-10255,1,55000,14000,5000,0
256,20260523,3,12,149,9,2,8,INV-10256,1,75000,10000,0,3750
257,20260524,5,22,5,-1,1,22,INV-10247,1,45000,9000,0,0
258,20260524,12,45,191,2,4,8,INV-10258,1,120000,15000,10000,6000
259,20260525,1,1,77,-1,5,4,INV-10259,1,2500000,0,50000,0
260,20260525,8,19,44,4,2,6,INV-10260,1,180000,12000,15000,9000
261,20260526,15,30,122,-1,1,22,INV-10261,2,35000,14000,5000,0
262,20260526,2,7,41,6,2,32,INV-10262,1,95000,15000,5000,4750
